Afonso Gomez, jograr de Sarria;3;Sarria;Área xeográfica
Alfonso X;3;Ribadavia;Área xeográfica
Afons' Eanes do Coton;3;Negreira;Área xeográfica
Afonso Fernandez Cubel;3;São Pedro d'Arcos/Bertiandos;Área xeográfica
Nuno Rodriguez de Candarei;2;Penafiel;Área xeográfica
Vasco Fernandez Praga de Sandin;2;Sandim;Área xeográfica
Vasco Fernandez Praga de Sandin;2;Parga (Lugo);Área xeográfica
Johan Soarez Somesso;2;Fornelos;Área xeográfica
Johan Soarez Somesso;2;Muimenta;Área xeográfica
Johan Soarez Somesso;2;Terra menor de San Martiño de Ladróns;Área xeográfica
Johan Soarez Somesso;2;Melón;Área xeográfica
Johan Soarez Somesso;2;San Pedro de Crecente;Monumento
Johan Soarez Somesso;2;Albeos;Área xeográfica
Johan Soarez Somesso;2;Tui;Área xeográfica
Johan Soarez Somesso;2;Mosteiro de Fiães;Monumento
Johan Soarez Somesso;2;Catedral de Tui;Monumento
Johan Soarez Somesso;2;Igrexa de Santa Cristina de Valeixe;predio
Johan Soarez Somesso;2;Igrexa de Santa Euxenia de Setados;predio
Estevan Faian;3;Ribadavia;Área xeográfica
Fernan Rodriguez de Calheiros;1;Calheiros;Área xeográfica
Rodrigo Diaz de los Cameros;1;Celanova;Área xeográfica
Rodrigo Diaz de los Cameros;1;Mosteiro de Ferreira de Pantón;Monumento
Rodrigo Diaz de los Cameros;1;Ferreira de Pallares;Área xeográfica
Rodrigo Diaz de los Cameros;1;Mosteiro de Alcobaça;Monumento
Martin Perez Alvin;4;Alvim, Guimarães;Área xeográfica
Pai Soarez de Taveirós;2;Tabeirós;Área xeográfica
Johan Romeu de Lugo;3;Lugo;Área xeográfica
Johan Servando;3;Santa María de Barxés (Muíño, Limia);Área xeográfica
Alfonso Lopez de Baião;3;Mosteiro de Arouca;Monumento
Alfonso Lopez de Baião;3;Baião;Área xeográfica
Afonso Mendez de Besteiros;3;São Cosme de Besteiros;Área xeográfica
Estevan Perez Froian;3;Froião, Paredes de Coura;geo
Men Rodriguez Tenoiro;3;Pontevedra;Área xeográfica
Men Vasquez de Folhente (Folhete);3;Aguiar;Área xeográfica
Men Vasquez de Folhente (Folhete);3;Ponte de Lima;Área xeográfica
Fernan Padron;3;Padrón;Área xeográfica
Johan Soarez de Pavia ;1;Mosteiro de Paço de Sousa;Monumento
Johan Soarez de Pavia ;1;Castelo de Paiva;Monumento
Johan Vello de Pedrogaez;3;Forjães;Área xeográfica
Johan Vello de Pedrogaez;3;Viana do Castelo;Área xeográfica
Martin Soarez;3;Riba de Lima (Minho);Área xeográfica
Airas Fernandes "Carpancho";1;Cornado;Área xeográfica
Airas Fernandes "Carpancho";1;Santiago de Compostela;Área xeográfica
Nuno Fernandez Torneol;3;Santiago de Compostela;Área xeográfica
Nuno Fernandez Torneol;3;Luou;Área xeográfica
Fernan Garcia Esgaravunha;2;Terras de Sousa;Área xeográfica
Roi Queimado;3;Sabadim;Área xeográfica
Vasco Gil;3;Sobrosa;Área xeográfica
Johan Soarez Coelho;3;Ribadouro;Área xeográfica
Johan Soarez Coelho;3;Cinfães;Área xeográfica
Roi Paez de Ribela;3;San Xulián de Ribela (Ourense);Monumento
Afonso Paez de Braga;3;Braga;Área xeográfica
Afonso Paez de Braga;3;Fermentões;Área xeográfica
Afonso Paez de Braga;3;Silvares;Área xeográfica
Johan Lopez de Ulhoa;3;Terras de Monterroso;Área xeográfica
Johan Lopez de Ulhoa;3;Estremadura (Portugal);Área xeográfica
Fernan Gonçalvez de Seabra;3;Vinhais, Trás-os-Montes (Brahança);Área xeográfica
Pero Gomez Barroso;3;Terras de Basto;Área xeográfica
Pero Gomez Barroso;3;Também acrescentamos as Terras de Barroso????;geo
Pero Gonçalvez de Porto Carreiro;3;Porto Carreiro;Área xeográfica
Pero Mafaldo;3;Souto de Rebordões;Área xeográfica
Pero Mendiz da Fonseca;3;São Martinho de Mouros (Lamego);Monumento
Johan Garcia de Guilhade;3;Milhazes, Barcelos;Área xeográfica
Johan de Requeixo;3;Requeixo, Chantada;Área xeográfica
Johan de Requeixo;3;Santa Maria do Faro;Monumento
Joham Lobeira;3;Guimarães;Área xeográfica
Joham Lobeira;3;Lobeira;Área xeográfica
Pero da Ponte;3;Pontevedra;Área xeográfica
Martin Codax;3;Vigo;Área xeográfica
Martin de Ginzo;3;Ginzo (Ponteareas);Área xeográfica
Martin de Ginzo;3;Santa Cecilia;Monumento
Martin de Padrozelos;3;Praduzelos;Área xeográfica
Martin de Padrozelos;3;Mosteiro de Montederramo;Monumento
Johan Perez d' Aboim;3;Aboim da Nóbrega;Área xeográfica
Johan de Gaia;4;Gaia;Área xeográfica
Pai Gomez Charinho;3;Rianxo;Área xeográfica
Pai Gomez Charinho;3;Mosteiro de San Francisco (Pontevedra);Monumento
Gil Sanchez;2;São Miguel de Laundos (Póvoa de Varzim);Monumento
Gil Sanchez;2;Vila do Conde;Área xeográfica
