Afonso Gomez, jograr de Sarria;3;Sarria;Área geográfica
Alfonso X;3;Ribadavia;Área geográfica
Afons'Eanes do Coton;3;Negreira;Área geográfica
Afonso Fernandez Cubel;3;São Pedro d'Arcos/Bertiandos;Área geográfica
Nuno Rodriguez de Candarei;2;Penafiel;Área geográfica
Vasco Fernandez Praga de Sandin;2;Sandim;Área geográfica
Vasco Fernandez Praga de Sandin;2;Mogudos;Procurá-se umha área geográfica para esta família?
Vasco Fernandez Praga de Sandin;2;Parga (Lugo);Área geográfica
Johan Soarez Somesso;2;Fornelos;Área geográfica
Johan Soarez Somesso;2;Muimenta;Área geográfica
Johan Soarez Somesso;2;Terra menor de San Martiño de Ladróns;Área geográfica
Johan Soarez Somesso;2;Melón;Área geográfica
Johan Soarez Somesso;2;San Pedro de Crecente;Monumento
Johan Soarez Somesso;2;Albeos;Área geográfica
Johan Soarez Somesso;2;Tui;Área geográfica
Johan Soarez Somesso;2;Mosteiro de Fiães;Monumento
Johan Soarez Somesso;2;Catedral de Tui;Monumento
Johan Soarez Somesso;2;Igrexa de Santa Cristina de Valeixe;Monumento
Johan Soarez Somesso;2;Igrexa de Santa Euxenia de Setados;Monumento
Estevan Faian;3;Ribadavia;Área geográfica
Fernan Rodriguez de Calheiros;1;????;
Rodrigo Diaz de los Cameros;1;Celanova;Área geográfica
Rodrigo Diaz de los Cameros;1;Mosteiro de Ferreira de Pantón;Monumento
Rodrigo Diaz de los Cameros;1;Ferreira de Pallares;Área geográfica
Rodrigo Diaz de los Cameros;1;Mosteiro de Alcobaça;Monumento
Martin Perez Alvin;4;Alvim, Guimarães;Área geográfica
Pai Soarez de Taveirós;2;Tabeirós;Área geográfica
Johan Romeu de Lugo;3;Lugo;Área geográfica
Johan Servando;3;Santa María de Barxés (Muíño, Limia);Área geográfica
Alfonso Lopez de Baião;3;Mosteiro de Arouca;Monumento
Alfonso Lopez de Baião;3;Baião;Área geográfica
Afonso Mendez de Besteiros;3;São Cosme de Besteiros;Área geográfica
Estevan Perez Froian;3;Froián????;Área geográfica
Men Rodriguez Tenoiro;3;Pontevedra;Área geográfica
Men Vasquez de Folhente (Folhete);3;Aguiar;Área geográfica
Men Vasquez de Folhente (Folhete);3;Ponte de Lima;Área geográfica
Fernan Padron;????;Padrón;Área geográfica
Johan Soarez de Pavia ;1;Mosteiro de Paço de Sousa;Monumento
Johan Soarez de Pavia ;1;Castelo de Paiva;Monumento
Johan Vello de Pedrogaez;3;Forjães;Área geográfica
Johan Vello de Pedrogaez;3;Viana do Castelo;Área geográfica
